Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96A,,09/24/2021,8.0,1,4,1,1,LM (T),1,"[675, 582, 727, 643]",2,dead,0.9983
96A,,09/24/2021,8.0,1,4,1,1,LM (T),2,"[406, 449, 440, 510]",2,dead,0.9331
96A,,09/24/2021,8.0,1,4,1,1,LM (T),3,"[86, 601, 149, 664]",2,dead,0.9264
96A,,09/24/2021,8.0,1,4,1,1,LM (T),4,"[153, 82, 216, 120]",2,dead,0.8993
96A,,09/24/2021,8.0,1,4,1,1,LM (T),5,"[51, 217, 130, 257]",2,dead,0.8985
96A,,09/24/2021,8.0,1,4,1,1,LM (T),6,"[747, 379, 780, 437]",2,dead,0.7432
96A,,09/24/2021,4.0,1,4,1,2,LM (T),1,"[743, 429, 787, 500]",2,dead,0.9966
96A,,09/24/2021,4.0,1,4,1,2,LM (T),2,"[683, 567, 745, 615]",2,dead,0.9945
96A,,09/24/2021,4.0,1,4,1,2,LM (T),3,"[652, 612, 716, 662]",2,dead,0.9922
96A,,09/24/2021,4.0,1,4,1,2,LM (T),4,"[10, 354, 57, 425]",2,dead,0.9921
96A,,09/24/2021,4.0,1,4,1,2,LM (T),5,"[692, 495, 722, 543]",7,artifact,0.9761
96A,,09/24/2021,4.0,1,4,1,2,LM (T),6,"[746, 367, 791, 435]",2,dead,0.9713
96A,,09/24/2021,4.0,1,4,1,2,LM (T),7,"[367, 42, 416, 95]",1,alive,0.9680
96A,,09/24/2021,4.0,1,4,1,2,LM (T),8,"[710, 495, 775, 573]",2,dead,0.9408
96A,,09/24/2021,4.0,1,4,1,2,LM (T),9,"[19, 279, 76, 356]",2,dead,0.9051
96A,,09/24/2021,4.0,1,4,1,2,LM (T),10,"[80, 167, 116, 250]",2,dead,0.8654
96A,,09/24/2021,4.0,1,4,1,2,LM (T),11,"[99, 126, 164, 188]",2,dead,0.8432
96A,,09/24/2021,4.0,1,4,1,2,LM (T),12,"[739, 316, 782, 398]",2,dead,0.8420
96A,,09/24/2021,4.0,1,4,1,2,LM (T),13,"[592, 87, 663, 147]",3,moribund,0.6474
96A,,09/24/2021,4.0,1,4,1,2,LM (T),14,"[739, 362, 779, 401]",2,dead,0.6015
96A,,09/24/2021,2.0,1,4,1,3,LM (T),1,"[123, 355, 155, 372]",7,artifact,0.9831
96A,,09/24/2021,2.0,1,4,1,3,LM (T),2,"[356, 20, 439, 55]",2,dead,0.9745
96A,,09/24/2021,2.0,1,4,1,3,LM (T),3,"[715, 255, 778, 332]",2,dead,0.9739
96A,,09/24/2021,2.0,1,4,1,3,LM (T),4,"[638, 605, 702, 678]",2,dead,0.9409
96A,,09/24/2021,2.0,1,4,1,3,LM (T),5,"[580, 81, 653, 138]",2,dead,0.7534
96A,,09/24/2021,2.0,1,4,1,3,LM (T),6,"[497, 40, 541, 73]",2,dead,0.7384
96A,,09/24/2021,1.0,1,4,1,4,LM (T),1,"[525, 467, 575, 530]",6,aged_dead,0.9994
96A,,09/24/2021,1.0,1,4,1,4,LM (T),2,"[61, 566, 102, 619]",2,dead,0.9949
96A,,09/24/2021,1.0,1,4,1,4,LM (T),3,"[677, 587, 735, 664]",2,dead,0.9932
96A,,09/24/2021,1.0,1,4,1,4,LM (T),4,"[707, 377, 758, 423]",3,moribund,0.9819
96A,,09/24/2021,1.0,1,4,1,4,LM (T),5,"[31, 492, 84, 572]",2,dead,0.9561
96A,,09/24/2021,1.0,1,4,1,4,LM (T),6,"[223, 709, 259, 751]",2,dead,0.9273
96A,,09/24/2021,1.0,1,4,1,4,LM (T),7,"[185, 49, 263, 114]",2,dead,0.8892
96A,,09/24/2021,1.0,1,4,1,4,LM (T),8,"[644, 578, 665, 596]",7,artifact,0.8885
96A,,09/24/2021,1.0,1,4,1,4,LM (T),9,"[264, 743, 368, 781]",2,dead,0.8738
96A,,09/24/2021,1.0,1,4,1,4,LM (T),10,"[15, 426, 62, 502]",2,dead,0.7845
96A,,09/24/2021,0.5,1,4,1,5,LM (T),1,"[619, 641, 677, 698]",2,dead,0.9908
96A,,09/24/2021,0.5,1,4,1,5,LM (T),2,"[202, 706, 307, 774]",1,alive,0.9854
96A,,09/24/2021,0.5,1,4,1,5,LM (T),3,"[81, 139, 143, 216]",2,dead,0.9843
