Ref ID,Date,ppm,Rep,Plate,Row,Column,Total,Dead,Alive,Media,Notes,% Mortality
94N,08/24/2021,160.5,1,1,1,1,11,3,8,LM (T)DMSO,6 artifacts,27%
94N,08/24/2021,80.25,1,1,1,2,13,1,12,LM (T)DMSO,,8%
94N,08/24/2021,40.125,1,1,1,3,16,1,15,LM (T)DMSO,,6%
94N,08/24/2021,20.0625,1,1,1,4,19,2,17,LM (T)DMSO,,11%
94N,08/24/2021,10.03125,1,1,1,5,13,2,11,LM (T)DMSO,,15%
94N,08/24/2021,5.015625,1,1,1,6,7,0,7,LM (T)DMSO,,0%
94N,08/24/2021,2.5078125,1,1,1,7,19,2,17,LM (T)DMSO,,11%
94N,08/24/2021,1.25390625,1,1,1,8,17,1,16,LM (T)DMSO,,6%
94N,08/24/2021,0.626953125,1,1,1,9,11,1,10,LM (T)DMSO,,9%
94N,08/24/2021,0.3134765625,1,1,1,10,10,1,9,LM (T)DMSO,,10%
VC,08/24/2021,0,1,1,1,12,14,4,10,LM (T)DMSO,High control mortality. ,29%
94O,08/24/2021,66.25,1,1,2,1,10,4,6,LM (T)DMSO,,40%
94O,08/24/2021,33.125,1,1,2,2,14,2,12,LM (T)DMSO,,14%
94O,08/24/2021,16.5625,1,1,2,3,11,3,8,LM (T)DMSO,,27%
94O,08/24/2021,8.28125,1,1,2,4,12,5,7,LM (T)DMSO,,42%
94O,08/24/2021,4.140625,1,1,2,5,16,3,13,LM (T)DMSO,,19%
94O,08/24/2021,2.0703125,1,1,2,6,18,2,16,LM (T)DMSO,,11%
94O,08/24/2021,1.03515625,1,1,2,7,7,0,7,LM (T)DMSO,,0%
94O,08/24/2021,0.517578125,1,1,2,8,16,3,13,LM (T)DMSO,,19%
94O,08/24/2021,0.2587890625,1,1,2,9,16,4,12,LM (T)DMSO,,25%
94O,08/24/2021,0.12939453125,1,1,2,10,8,0,8,LM (T)DMSO,,0%
VC,08/24/2021,0,1,1,2,12,6,0,6,LM (T)DMSO,,0%
94P,08/24/2021,128.0,1,1,3,1,13,4,9,LM (T)DMSO,,31%
94P,08/24/2021,64.0,1,1,3,2,13,0,13,LM (T)DMSO,,0%
94P,08/24/2021,32.0,1,1,3,3,17,3,14,LM (T)DMSO,,18%
94P,08/24/2021,16.0,1,1,3,4,6,1,5,LM (T)DMSO,,17%
94P,08/24/2021,8.0,1,1,3,5,16,1,15,LM (T)DMSO,,6%
94P,08/24/2021,4.0,1,1,3,6,11,1,10,LM (T)DMSO,,9%
94P,08/24/2021,2.0,1,1,3,7,18,2,16,LM (T)DMSO,,11%
