Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,1,"[385, 245, 448, 297]",7,artifact,0.9988
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,2,"[339, 697, 453, 742]",1,alive,0.9873
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,3,"[124, 468, 157, 557]",1,alive,0.9853
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,4,"[157, 623, 299, 668]",1,alive,0.9839
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,5,"[711, 181, 743, 221]",7,artifact,0.9802
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,6,"[541, 37, 566, 70]",7,artifact,0.9737
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,7,"[747, 448, 790, 544]",1,alive,0.9722
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,8,"[718, 469, 748, 606]",1,alive,0.9712
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,9,"[453, 696, 536, 729]",2,dead,0.9552
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,10,"[258, 24, 301, 61]",7,artifact,0.8410
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,11,"[756, 336, 791, 406]",1,alive,0.8080
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,12,"[719, 546, 764, 611]",1,alive,0.7828
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,13,"[460, 20, 568, 71]",7,artifact,0.7731
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,14,"[552, 46, 636, 100]",7,artifact,0.7587
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,15,"[461, 16, 507, 50]",1,alive,0.7000
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,16,"[529, 678, 585, 724]",3,moribund,0.6679
94N,,08/24/2021,160.5,1,1,1,1,LM (T)DMSO,17,"[133, 655, 153, 679]",3,moribund,0.6099
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,1,"[575, 71, 660, 176]",1,alive,0.9994
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,2,"[78, 556, 148, 630]",1,alive,0.9971
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,3,"[526, 55, 611, 120]",1,alive,0.9969
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,4,"[439, 668, 567, 770]",1,alive,0.9967
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,5,"[670, 159, 713, 218]",1,alive,0.9943
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,6,"[31, 207, 125, 299]",1,alive,0.9910
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,7,"[722, 331, 782, 441]",1,alive,0.9910
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,8,"[613, 126, 653, 232]",1,alive,0.9879
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,9,"[54, 480, 136, 581]",1,alive,0.9850
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,10,"[22, 292, 82, 354]",1,alive,0.9848
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,11,"[22, 409, 58, 542]",1,alive,0.9768
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,12,"[99, 616, 134, 652]",2,dead,0.9380
94N,,08/24/2021,80.25,1,1,1,2,LM (T)DMSO,13,"[433, 726, 568, 768]",1,alive,0.9154
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,1,"[36, 364, 98, 463]",1,alive,0.9940
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,2,"[28, 473, 103, 530]",1,alive,0.9932
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,3,"[387, 521, 423, 552]",6,aged_dead,0.9921
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,4,"[440, 486, 474, 530]",7,artifact,0.9900
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,5,"[600, 126, 711, 193]",1,alive,0.9865
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,6,"[316, 16, 406, 74]",1,alive,0.9823
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,7,"[711, 261, 752, 355]",1,alive,0.9761
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,8,"[721, 485, 772, 568]",1,alive,0.9604
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,9,"[605, 108, 651, 147]",1,alive,0.9546
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,10,"[734, 344, 781, 412]",1,alive,0.9521
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,11,"[547, 78, 626, 131]",1,alive,0.9403
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,12,"[736, 398, 776, 442]",1,alive,0.9387
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,13,"[18, 349, 52, 432]",2,dead,0.9381
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,14,"[717, 209, 770, 355]",1,alive,0.9353
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,15,"[377, 20, 447, 62]",1,alive,0.9282
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,16,"[365, 24, 402, 69]",1,alive,0.7687
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,17,"[715, 436, 782, 468]",1,alive,0.7676
94N,,08/24/2021,40.125,1,1,1,3,LM (T)DMSO,18,"[158, 94, 189, 144]",1,alive,0.7342
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,1,"[35, 484, 114, 561]",1,alive,0.9958
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,2,"[134, 634, 186, 696]",1,alive,0.9945
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,3,"[721, 422, 755, 583]",1,alive,0.9870
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,4,"[28, 292, 58, 384]",1,alive,0.9748
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,5,"[31, 421, 82, 505]",1,alive,0.9744
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,6,"[46, 254, 94, 340]",1,alive,0.9690
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,7,"[541, 667, 595, 738]",1,alive,0.9647
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,8,"[75, 570, 193, 602]",1,alive,0.9577
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,9,"[506, 327, 530, 353]",7,artifact,0.9538
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,10,"[288, 690, 343, 779]",1,alive,0.9488
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,11,"[467, 730, 535, 764]",1,alive,0.9447
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,12,"[82, 576, 145, 679]",1,alive,0.9367
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,13,"[613, 615, 700, 687]",2,dead,0.9355
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,14,"[429, 699, 480, 768]",1,alive,0.9242
94N,,08/24/2021,20.0625,1,1,1,4,LM (T)DMSO,15,"[18, 353, 57, 475]",1,alive,0.8938
