Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96M,,09/24/2021,8.0,1,3,1,1,LM (T),1,"[483, 212, 576, 282]",1,alive,0.9991
96M,,09/24/2021,8.0,1,3,1,1,LM (T),2,"[322, 380, 427, 479]",1,alive,0.9945
96M,,09/24/2021,8.0,1,3,1,1,LM (T),3,"[232, 351, 281, 408]",1,alive,0.9890
96M,,09/24/2021,8.0,1,3,1,1,LM (T),4,"[422, 173, 497, 257]",2,dead,0.9801
96M,,09/24/2021,8.0,1,3,1,1,LM (T),5,"[396, 510, 473, 572]",3,moribund,0.9744
96M,,09/24/2021,8.0,1,3,1,1,LM (T),6,"[459, 143, 539, 191]",2,dead,0.9658
96M,,09/24/2021,8.0,1,3,1,1,LM (T),7,"[337, 123, 381, 185]",2,dead,0.9639
96M,,09/24/2021,8.0,1,3,1,1,LM (T),8,"[531, 323, 570, 399]",1,alive,0.9458
96M,,09/24/2021,8.0,1,3,1,1,LM (T),9,"[318, 174, 390, 219]",1,alive,0.9438
96M,,09/24/2021,8.0,1,3,1,1,LM (T),10,"[363, 301, 420, 357]",1,alive,0.9277
96M,,09/24/2021,8.0,1,3,1,1,LM (T),11,"[64, 163, 138, 234]",3,moribund,0.8618
96M,,09/24/2021,8.0,1,3,1,1,LM (T),12,"[44, 229, 84, 345]",3,moribund,0.6947
96M,,09/24/2021,4.0,1,3,1,2,LM (T),1,"[323, 107, 390, 195]",1,alive,0.9995
96M,,09/24/2021,4.0,1,3,1,2,LM (T),2,"[372, 147, 450, 227]",1,alive,0.9990
96M,,09/24/2021,4.0,1,3,1,2,LM (T),3,"[341, 595, 441, 669]",1,alive,0.9986
96M,,09/24/2021,4.0,1,3,1,2,LM (T),4,"[182, 213, 290, 346]",7,artifact,0.9985
96M,,09/24/2021,4.0,1,3,1,2,LM (T),5,"[309, 563, 400, 644]",1,alive,0.9964
96M,,09/24/2021,4.0,1,3,1,2,LM (T),6,"[406, 472, 487, 541]",1,alive,0.9936
96M,,09/24/2021,4.0,1,3,1,2,LM (T),7,"[388, 468, 441, 520]",1,alive,0.9905
96M,,09/24/2021,4.0,1,3,1,2,LM (T),8,"[112, 311, 175, 349]",7,artifact,0.9842
