Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96B,,09/30/2021,16.0,1,2,1,1,LM (T),1,"[646, 130, 703, 192]",2,dead,0.9531
96B,,09/30/2021,16.0,1,2,1,1,LM (T),2,"[709, 303, 779, 364]",2,dead,0.9234
96B,,09/30/2021,16.0,1,2,1,1,LM (T),3,"[84, 597, 155, 683]",2,dead,0.9080
96B,,09/30/2021,16.0,1,2,1,1,LM (T),4,"[707, 205, 754, 330]",2,dead,0.8962
96B,,09/30/2021,16.0,1,2,1,1,LM (T),5,"[487, 699, 592, 763]",3,moribund,0.8613
96B,,09/30/2021,16.0,1,2,1,1,LM (T),6,"[38, 204, 94, 298]",3,moribund,0.8471
96B,,09/30/2021,16.0,1,2,1,1,LM (T),7,"[92, 130, 180, 195]",3,moribund,0.8363
96B,,09/30/2021,16.0,1,2,1,1,LM (T),8,"[554, 703, 590, 746]",2,dead,0.8128
96B,,09/30/2021,16.0,1,2,1,1,LM (T),9,"[585, 641, 682, 726]",2,dead,0.8016
96B,,09/30/2021,16.0,1,2,1,1,LM (T),10,"[78, 169, 156, 207]",2,dead,0.7705
96B,,09/30/2021,8.0,1,2,1,2,LM (T),1,"[741, 296, 776, 348]",2,dead,0.9619
96B,,09/30/2021,8.0,1,2,1,2,LM (T),2,"[26, 217, 85, 294]",2,dead,0.9409
96B,,09/30/2021,8.0,1,2,1,2,LM (T),3,"[691, 191, 760, 286]",5,L2,0.9158
96B,,09/30/2021,8.0,1,2,1,2,LM (T),4,"[77, 546, 135, 649]",2,dead,0.8828
96B,,09/30/2021,8.0,1,2,1,2,LM (T),5,"[738, 331, 779, 410]",2,dead,0.7963
96B,,09/30/2021,8.0,1,2,1,2,LM (T),6,"[271, 734, 364, 779]",2,dead,0.7885
96B,,09/30/2021,4.0,1,2,1,3,LM (T),1,"[101, 550, 145, 584]",7,artifact,0.9953
96B,,09/30/2021,4.0,1,2,1,3,LM (T),2,"[42, 263, 140, 337]",7,artifact,0.9932
96B,,09/30/2021,4.0,1,2,1,3,LM (T),3,"[468, 375, 512, 477]",7,artifact,0.9788
96B,,09/30/2021,4.0,1,2,1,3,LM (T),4,"[641, 628, 690, 686]",2,dead,0.9731
96B,,09/30/2021,4.0,1,2,1,3,LM (T),5,"[168, 74, 241, 115]",2,dead,0.9378
96B,,09/30/2021,4.0,1,2,1,3,LM (T),6,"[618, 648, 669, 699]",2,dead,0.9219
96B,,09/30/2021,4.0,1,2,1,3,LM (T),7,"[695, 514, 759, 592]",2,dead,0.9200
96B,,09/30/2021,4.0,1,2,1,3,LM (T),8,"[207, 76, 252, 104]",3,moribund,0.8993
96B,,09/30/2021,4.0,1,2,1,3,LM (T),9,"[212, 49, 280, 97]",3,moribund,0.8158
96B,,09/30/2021,4.0,1,2,1,3,LM (T),10,"[31, 480, 82, 541]",2,dead,0.7921
96B,,09/30/2021,4.0,1,2,1,3,LM (T),11,"[640, 339, 661, 359]",7,artifact,0.7742
96B,,09/30/2021,4.0,1,2,1,3,LM (T),12,"[386, 742, 476, 785]",1,alive,0.6930
96B,,09/30/2021,2.0,1,2,1,4,LM (T),1,"[746, 257, 772, 281]",7,artifact,0.9875
96B,,09/30/2021,2.0,1,2,1,4,LM (T),2,"[693, 549, 738, 615]",2,dead,0.9832
96B,,09/30/2021,2.0,1,2,1,4,LM (T),3,"[640, 602, 706, 666]",2,dead,0.9815
96B,,09/30/2021,2.0,1,2,1,4,LM (T),4,"[25, 473, 74, 564]",2,dead,0.9489
96B,,09/30/2021,2.0,1,2,1,4,LM (T),5,"[214, 712, 287, 766]",2,dead,0.9027
96B,,09/30/2021,2.0,1,2,1,4,LM (T),6,"[395, 330, 424, 371]",7,artifact,0.8221
96B,,09/30/2021,2.0,1,2,1,4,LM (T),7,"[24, 238, 73, 349]",3,moribund,0.7481
96B,,09/30/2021,1.0,1,2,1,5,LM (T),1,"[723, 384, 790, 437]",2,dead,0.9950
96B,,09/30/2021,1.0,1,2,1,5,LM (T),2,"[175, 44, 263, 121]",2,dead,0.9883
96B,,09/30/2021,1.0,1,2,1,5,LM (T),3,"[724, 347, 784, 402]",2,dead,0.9713
96B,,09/30/2021,1.0,1,2,1,5,LM (T),4,"[30, 254, 84, 320]",2,dead,0.9712
96B,,09/30/2021,1.0,1,2,1,5,LM (T),5,"[516, 726, 584, 769]",2,dead,0.9543
96B,,09/30/2021,1.0,1,2,1,5,LM (T),6,"[420, 729, 505, 783]",2,dead,0.9412
96B,,09/30/2021,1.0,1,2,1,5,LM (T),7,"[65, 568, 132, 609]",2,dead,0.9376
96B,,09/30/2021,1.0,1,2,1,5,LM (T),8,"[274, 23, 388, 64]",2,dead,0.9374
96B,,09/30/2021,1.0,1,2,1,5,LM (T),9,"[58, 253, 89, 296]",2,dead,0.9295
96B,,09/30/2021,1.0,1,2,1,5,LM (T),10,"[42, 527, 96, 585]",2,dead,0.9157
96B,,09/30/2021,1.0,1,2,1,5,LM (T),11,"[560, 661, 660, 733]",2,dead,0.9136
96B,,09/30/2021,0.5,1,2,1,6,LM (T),1,"[255, 730, 321, 774]",2,dead,0.9840
96B,,09/30/2021,0.5,1,2,1,6,LM (T),2,"[554, 677, 614, 744]",2,dead,0.9795
96B,,09/30/2021,0.5,1,2,1,6,LM (T),3,"[347, 343, 391, 384]",7,artifact,0.9778
96B,,09/30/2021,0.5,1,2,1,6,LM (T),4,"[416, 446, 449, 478]",7,artifact,0.9691
96B,,09/30/2021,0.5,1,2,1,6,LM (T),5,"[288, 395, 338, 433]",7,artifact,0.9542
96B,,09/30/2021,0.5,1,2,1,6,LM (T),6,"[628, 623, 707, 684]",2,dead,0.9323
96B,,09/30/2021,0.5,1,2,1,6,LM (T),7,"[202, 61, 268, 103]",3,moribund,0.8381
96B,,09/30/2021,0.25,1,2,1,7,LM (T),1,"[713, 478, 774, 539]",2,dead,0.9990
96B,,09/30/2021,0.25,1,2,1,7,LM (T),2,"[579, 684, 642, 716]",2,dead,0.9940
96B,,09/30/2021,0.25,1,2,1,7,LM (T),3,"[28, 281, 59, 351]",2,dead,0.9908
96B,,09/30/2021,0.25,1,2,1,7,LM (T),4,"[120, 99, 225, 165]",7,artifact,0.9883
96B,,09/30/2021,0.25,1,2,1,7,LM (T),5,"[141, 626, 179, 709]",7,artifact,0.9845
96B,,09/30/2021,0.25,1,2,1,7,LM (T),6,"[635, 609, 703, 688]",2,dead,0.9840
96B,,09/30/2021,0.25,1,2,1,7,LM (T),7,"[535, 710, 610, 753]",2,dead,0.9729
96B,,09/30/2021,0.25,1,2,1,7,LM (T),8,"[453, 739, 519, 779]",2,dead,0.9725
96B,,09/30/2021,0.25,1,2,1,7,LM (T),9,"[76, 581, 122, 651]",2,dead,0.9718
96B,,09/30/2021,0.25,1,2,1,7,LM (T),10,"[17, 348, 70, 414]",2,dead,0.9703
96B,,09/30/2021,0.25,1,2,1,7,LM (T),11,"[694, 535, 749, 608]",2,dead,0.9618
96B,,09/30/2021,0.25,1,2,1,7,LM (T),12,"[122, 65, 203, 136]",7,artifact,0.9614
96B,,09/30/2021,0.25,1,2,1,7,LM (T),13,"[395, 457, 435, 475]",7,artifact,0.9592
96B,,09/30/2021,0.25,1,2,1,7,LM (T),14,"[255, 737, 328, 778]",2,dead,0.9399
96B,,09/30/2021,0.25,1,2,1,7,LM (T),15,"[113, 628, 173, 677]",3,moribund,0.9336
96B,,09/30/2021,0.25,1,2,1,7,LM (T),16,"[31, 251, 56, 282]",7,artifact,0.8603
96B,,09/30/2021,0.25,1,2,1,7,LM (T),17,"[141, 665, 171, 709]",7,artifact,0.8186
96B,,09/30/2021,0.125,1,2,1,8,LM (T),1,"[463, 477, 489, 500]",7,artifact,0.9817
96B,,09/30/2021,0.125,1,2,1,8,LM (T),2,"[528, 48, 609, 109]",2,dead,0.9755
96B,,09/30/2021,0.125,1,2,1,8,LM (T),3,"[154, 661, 235, 725]",2,dead,0.9664
96B,,09/30/2021,0.125,1,2,1,8,LM (T),4,"[576, 634, 667, 714]",2,dead,0.8171
96B,,09/30/2021,0.125,1,2,1,8,LM (T),5,"[48, 244, 81, 284]",2,dead,0.7590
96B,,09/30/2021,0.125,1,2,1,8,LM (T),6,"[474, 709, 584, 768]",3,moribund,0.7538
96B,,09/30/2021,0.0625,1,2,1,9,LM (T),1,"[671, 478, 744, 641]",1,alive,0.9934
96B,,09/30/2021,0.0625,1,2,1,9,LM (T),2,"[651, 591, 692, 663]",1,alive,0.9823
96B,,09/30/2021,0.0625,1,2,1,9,LM (T),3,"[19, 388, 82, 505]",1,alive,0.9487
96B,,09/30/2021,0.0625,1,2,1,9,LM (T),4,"[704, 270, 757, 325]",1,alive,0.9155
