Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
94N,,08/26/2021,160.5,1,1,1,1,LM (T),1,"[534, 364, 635, 477]",1,alive,0.9980
94N,,08/26/2021,160.5,1,1,1,1,LM (T),2,"[121, 514, 197, 573]",1,alive,0.9978
94N,,08/26/2021,160.5,1,1,1,1,LM (T),3,"[620, 636, 651, 667]",7,artifact,0.9962
94N,,08/26/2021,160.5,1,1,1,1,LM (T),4,"[501, 595, 532, 652]",7,artifact,0.9938
94N,,08/26/2021,160.5,1,1,1,1,LM (T),5,"[237, 80, 305, 198]",1,alive,0.9931
94N,,08/26/2021,160.5,1,1,1,1,LM (T),6,"[366, 37, 408, 185]",1,alive,0.9931
94N,,08/26/2021,160.5,1,1,1,1,LM (T),7,"[648, 453, 770, 539]",1,alive,0.9894
94N,,08/26/2021,160.5,1,1,1,1,LM (T),8,"[214, 608, 302, 733]",1,alive,0.9875
94N,,08/26/2021,160.5,1,1,1,1,LM (T),9,"[241, 30, 376, 82]",7,artifact,0.9864
94N,,08/26/2021,160.5,1,1,1,1,LM (T),10,"[726, 312, 764, 395]",1,alive,0.9864
94N,,08/26/2021,160.5,1,1,1,1,LM (T),11,"[406, 96, 465, 143]",1,alive,0.9854
94N,,08/26/2021,160.5,1,1,1,1,LM (T),12,"[96, 107, 179, 186]",1,alive,0.9708
94N,,08/26/2021,160.5,1,1,1,1,LM (T),13,"[238, 41, 265, 71]",7,artifact,0.9508
94N,,08/26/2021,160.5,1,1,1,1,LM (T),14,"[449, 144, 514, 222]",2,dead,0.9479
94N,,08/26/2021,160.5,1,1,1,1,LM (T),15,"[227, 439, 304, 485]",7,artifact,0.9402
94N,,08/26/2021,160.5,1,1,1,1,LM (T),16,"[672, 536, 723, 592]",1,alive,0.9301
94N,,08/26/2021,160.5,1,1,1,1,LM (T),17,"[366, 506, 395, 530]",7,artifact,0.9283
94N,,08/26/2021,160.5,1,1,1,1,LM (T),18,"[453, 507, 523, 557]",7,artifact,0.9115
94N,,08/26/2021,160.5,1,1,1,1,LM (T),19,"[510, 30, 538, 52]",7,artifact,0.8935
94N,,08/26/2021,160.5,1,1,1,1,LM (T),20,"[537, 191, 626, 268]",1,alive,0.8628
94N,,08/26/2021,160.5,1,1,1,1,LM (T),21,"[644, 133, 700, 200]",2,dead,0.8362
94N,,08/26/2021,160.5,1,1,1,1,LM (T),22,"[532, 506, 568, 549]",7,artifact,0.8183
94N,,08/26/2021,160.5,1,1,1,1,LM (T),23,"[483, 526, 534, 658]",7,artifact,0.8139
94N,,08/26/2021,160.5,1,1,1,1,LM (T),24,"[487, 285, 516, 337]",7,artifact,0.8088
94N,,08/26/2021,160.5,1,1,1,1,LM (T),25,"[470, 465, 569, 550]",7,artifact,0.7945
94N,,08/26/2021,160.5,1,1,1,1,LM (T),26,"[638, 218, 742, 260]",2,dead,0.7587
94N,,08/26/2021,160.5,1,1,1,1,LM (T),27,"[748, 394, 777, 457]",7,artifact,0.7090
94N,,08/26/2021,160.5,1,1,1,1,LM (T),28,"[242, 328, 272, 359]",7,artifact,0.6386
94N,,08/26/2021,80.25,1,1,1,2,LM (T),1,"[346, 63, 436, 152]",1,alive,0.9947
94N,,08/26/2021,80.25,1,1,1,2,LM (T),2,"[730, 260, 766, 374]",1,alive,0.9827
94N,,08/26/2021,80.25,1,1,1,2,LM (T),3,"[709, 451, 754, 541]",1,alive,0.9686
94N,,08/26/2021,80.25,1,1,1,2,LM (T),4,"[496, 32, 530, 105]",2,dead,0.9660
94N,,08/26/2021,80.25,1,1,1,2,LM (T),5,"[723, 391, 766, 483]",1,alive,0.9316
94N,,08/26/2021,80.25,1,1,1,2,LM (T),6,"[681, 206, 720, 263]",3,moribund,0.9051
94N,,08/26/2021,40.125,1,1,1,3,LM (T),1,"[357, 84, 431, 155]",1,alive,1.0000
94N,,08/26/2021,40.125,1,1,1,3,LM (T),2,"[379, 418, 450, 500]",1,alive,0.9995
94N,,08/26/2021,40.125,1,1,1,3,LM (T),3,"[725, 201, 756, 244]",7,artifact,0.9893
94N,,08/26/2021,40.125,1,1,1,3,LM (T),4,"[600, 599, 642, 641]",7,artifact,0.9823
94N,,08/26/2021,40.125,1,1,1,3,LM (T),5,"[491, 756, 516, 779]",7,artifact,0.9744
94N,,08/26/2021,40.125,1,1,1,3,LM (T),6,"[420, 35, 488, 156]",1,alive,0.9675
94N,,08/26/2021,40.125,1,1,1,3,LM (T),7,"[317, 46, 357, 115]",1,alive,0.9640
94N,,08/26/2021,40.125,1,1,1,3,LM (T),8,"[573, 54, 607, 81]",7,artifact,0.9632
94N,,08/26/2021,40.125,1,1,1,3,LM (T),9,"[480, 31, 552, 90]",1,alive,0.9630
94N,,08/26/2021,40.125,1,1,1,3,LM (T),10,"[30, 180, 109, 292]",1,alive,0.9311
94N,,08/26/2021,40.125,1,1,1,3,LM (T),11,"[455, 44, 492, 121]",6,aged_dead,0.6188
94N,,08/26/2021,20.0625,1,1,1,4,LM (T),1,"[280, 92, 348, 154]",1,alive,0.9999
94N,,08/26/2021,20.0625,1,1,1,4,LM (T),2,"[329, 35, 408, 100]",1,alive,0.9998
94N,,08/26/2021,20.0625,1,1,1,4,LM (T),3,"[466, 125, 563, 226]",1,alive,0.9997
