Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
35H,,08/11/2021,1.28,1,1,1,1,LM (T),1,"[723, 393, 777, 457]",1,alive,0.9603
35H,,08/11/2021,1.28,1,1,1,1,LM (T),2,"[538, 703, 586, 751]",2,dead,0.9502
35H,,08/11/2021,1.28,1,1,1,1,LM (T),3,"[716, 520, 752, 585]",2,dead,0.9481
35H,,08/11/2021,1.28,1,1,1,1,LM (T),4,"[623, 633, 687, 684]",2,dead,0.9325
35H,,08/11/2021,1.28,1,1,1,1,LM (T),5,"[729, 453, 772, 532]",2,dead,0.9227
35H,,08/11/2021,1.28,1,1,1,1,LM (T),6,"[712, 496, 747, 550]",2,dead,0.9225
35H,,08/11/2021,1.28,1,1,1,1,LM (T),7,"[124, 635, 172, 687]",1,alive,0.9144
35H,,08/11/2021,1.28,1,1,1,1,LM (T),8,"[691, 550, 724, 621]",1,alive,0.9121
35H,,08/11/2021,1.28,1,1,1,1,LM (T),9,"[656, 574, 704, 613]",1,alive,0.8903
35H,,08/11/2021,1.28,1,1,1,1,LM (T),10,"[716, 459, 768, 585]",2,dead,0.8481
35H,,08/11/2021,1.28,1,1,1,1,LM (T),11,"[688, 546, 733, 580]",3,moribund,0.8286
35H,,08/11/2021,1.28,1,1,1,1,LM (T),12,"[214, 34, 281, 126]",7,artifact,0.8250
35H,,08/11/2021,1.28,1,1,1,1,LM (T),13,"[714, 235, 757, 306]",3,moribund,0.8234
35H,,08/11/2021,1.28,1,1,1,1,LM (T),14,"[705, 515, 737, 551]",3,moribund,0.8024
35H,,08/11/2021,1.28,1,1,1,1,LM (T),15,"[24, 295, 72, 355]",1,alive,0.7728
35H,,08/11/2021,1.28,1,1,1,1,LM (T),16,"[675, 606, 710, 642]",2,dead,0.7162
35H,,08/11/2021,1.28,1,1,1,1,LM (T),17,"[48, 230, 97, 288]",1,alive,0.6889
35H,,08/11/2021,0.64,1,1,1,2,LM (T),1,"[708, 474, 783, 521]",1,alive,0.9885
35H,,08/11/2021,0.64,1,1,1,2,LM (T),2,"[678, 562, 743, 646]",2,dead,0.9868
35H,,08/11/2021,0.64,1,1,1,2,LM (T),3,"[582, 650, 666, 708]",1,alive,0.9592
35H,,08/11/2021,0.64,1,1,1,2,LM (T),4,"[172, 670, 226, 725]",1,alive,0.9422
35H,,08/11/2021,0.64,1,1,1,2,LM (T),5,"[193, 686, 307, 757]",1,alive,0.9391
35H,,08/11/2021,0.64,1,1,1,2,LM (T),6,"[15, 393, 57, 475]",2,dead,0.9221
35H,,08/11/2021,0.64,1,1,1,2,LM (T),7,"[628, 567, 717, 654]",1,alive,0.8875
35H,,08/11/2021,0.64,1,1,1,2,LM (T),8,"[716, 512, 757, 560]",3,moribund,0.8864
35H,,08/11/2021,0.64,1,1,1,2,LM (T),9,"[740, 407, 784, 467]",1,alive,0.8437
35H,,08/11/2021,0.64,1,1,1,2,LM (T),10,"[636, 181, 740, 233]",1,alive,0.8166
35H,,08/11/2021,0.64,1,1,1,2,LM (T),11,"[42, 237, 92, 320]",3,moribund,0.7881
35H,,08/11/2021,0.64,1,1,1,2,LM (T),12,"[431, 21, 521, 62]",2,dead,0.7808
35H,,08/11/2021,0.64,1,1,1,2,LM (T),13,"[717, 358, 788, 425]",2,dead,0.7382
35H,,08/11/2021,0.64,1,1,1,2,LM (T),14,"[749, 320, 785, 383]",3,moribund,0.7364
35H,,08/11/2021,0.64,1,1,1,2,LM (T),15,"[717, 233, 764, 301]",3,moribund,0.7306
35H,,08/11/2021,0.64,1,1,1,2,LM (T),16,"[644, 135, 716, 190]",1,alive,0.7137
35H,,08/11/2021,0.64,1,1,1,2,LM (T),17,"[19, 297, 70, 394]",2,dead,0.6938
35H,,08/11/2021,0.64,1,1,1,2,LM (T),18,"[383, 16, 438, 55]",1,alive,0.6484
35H,,08/11/2021,0.32,1,1,1,3,LM (T),1,"[534, 60, 586, 137]",1,alive,0.9994
35H,,08/11/2021,0.32,1,1,1,3,LM (T),2,"[27, 320, 97, 348]",6,aged_dead,0.9994
35H,,08/11/2021,0.32,1,1,1,3,LM (T),3,"[662, 213, 718, 268]",1,alive,0.9973
35H,,08/11/2021,0.32,1,1,1,3,LM (T),4,"[718, 426, 787, 491]",1,alive,0.9967
35H,,08/11/2021,0.32,1,1,1,3,LM (T),5,"[599, 105, 681, 155]",7,artifact,0.9939
35H,,08/11/2021,0.32,1,1,1,3,LM (T),6,"[603, 129, 686, 171]",1,alive,0.9848
35H,,08/11/2021,0.32,1,1,1,3,LM (T),7,"[699, 379, 756, 509]",1,alive,0.9816
35H,,08/11/2021,0.32,1,1,1,3,LM (T),8,"[714, 479, 757, 564]",1,alive,0.9761
35H,,08/11/2021,0.32,1,1,1,3,LM (T),9,"[658, 582, 718, 651]",1,alive,0.9665
35H,,08/11/2021,0.32,1,1,1,3,LM (T),10,"[520, 633, 667, 689]",1,alive,0.9587
35H,,08/11/2021,0.32,1,1,1,3,LM (T),11,"[578, 388, 636, 497]",1,alive,0.9569
35H,,08/11/2021,0.32,1,1,1,3,LM (T),12,"[84, 579, 134, 623]",3,moribund,0.9364
35H,,08/11/2021,0.32,1,1,1,3,LM (T),13,"[398, 18, 498, 75]",1,alive,0.9132
35H,,08/11/2021,0.32,1,1,1,3,LM (T),14,"[39, 503, 94, 612]",3,moribund,0.8075
35H,,08/11/2021,0.32,1,1,1,3,LM (T),15,"[295, 23, 342, 74]",1,alive,0.7711
35H,,08/11/2021,0.32,1,1,1,3,LM (T),16,"[223, 55, 281, 98]",3,moribund,0.7501
35H,,08/11/2021,0.32,1,1,1,3,LM (T),17,"[731, 452, 776, 509]",1,alive,0.6732
35H,,08/11/2021,0.16,1,1,1,4,LM (T),1,"[678, 453, 717, 530]",2,dead,0.9958
