Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
38A,,08/04/2021,16.0,1,1,1,1,LM (T),1,"[52, 543, 90, 596]",2,dead,0.9982
38A,,08/04/2021,16.0,1,1,1,1,LM (T),2,"[455, 17, 527, 57]",2,dead,0.9903
38A,,08/04/2021,16.0,1,1,1,1,LM (T),3,"[603, 336, 642, 380]",3,moribund,0.9832
38A,,08/04/2021,16.0,1,1,1,1,LM (T),4,"[112, 92, 237, 219]",5,L2,0.9771
38A,,08/04/2021,16.0,1,1,1,1,LM (T),5,"[83, 155, 120, 214]",2,dead,0.9705
38A,,08/04/2021,16.0,1,1,1,1,LM (T),6,"[615, 665, 673, 711]",2,dead,0.9618
38A,,08/04/2021,16.0,1,1,1,1,LM (T),7,"[385, 363, 423, 399]",6,aged_dead,0.8991
38A,,08/04/2021,16.0,1,1,1,1,LM (T),8,"[86, 578, 121, 644]",2,dead,0.8772
38A,,08/04/2021,16.0,1,1,1,1,LM (T),9,"[24, 413, 66, 499]",2,dead,0.8546
38A,,08/04/2021,16.0,1,1,1,1,LM (T),10,"[581, 669, 638, 723]",1,alive,0.8236
38A,,08/04/2021,16.0,1,1,1,1,LM (T),11,"[335, 759, 404, 789]",2,dead,0.7979
38A,,08/04/2021,16.0,1,1,1,1,LM (T),12,"[199, 97, 239, 133]",7,artifact,0.6676
38A,,08/04/2021,8.0,1,1,1,2,LM (T),1,"[644, 281, 677, 305]",7,artifact,0.9992
38A,,08/04/2021,8.0,1,1,1,2,LM (T),2,"[81, 593, 132, 659]",2,dead,0.9466
38A,,08/04/2021,8.0,1,1,1,2,LM (T),3,"[36, 233, 84, 292]",2,dead,0.9430
38A,,08/04/2021,8.0,1,1,1,2,LM (T),4,"[728, 383, 791, 455]",2,dead,0.9150
38A,,08/04/2021,8.0,1,1,1,2,LM (T),5,"[748, 456, 784, 520]",2,dead,0.8819
38A,,08/04/2021,8.0,1,1,1,2,LM (T),6,"[389, 758, 481, 791]",2,dead,0.8458
38A,,08/04/2021,8.0,1,1,1,2,LM (T),7,"[730, 226, 770, 275]",7,artifact,0.8225
38A,,08/04/2021,8.0,1,1,1,2,LM (T),8,"[568, 74, 616, 117]",3,moribund,0.6275
38A,,08/04/2021,4.0,1,1,1,3,LM (T),1,"[635, 456, 774, 612]",5,L2,0.9836
38A,,08/04/2021,4.0,1,1,1,3,LM (T),2,"[652, 591, 706, 666]",2,dead,0.9670
38A,,08/04/2021,4.0,1,1,1,3,LM (T),3,"[681, 593, 713, 640]",2,dead,0.9527
38A,,08/04/2021,4.0,1,1,1,3,LM (T),4,"[79, 150, 132, 208]",2,dead,0.9437
38A,,08/04/2021,4.0,1,1,1,3,LM (T),5,"[403, 15, 465, 52]",2,dead,0.9011
38A,,08/04/2021,4.0,1,1,1,3,LM (T),6,"[688, 209, 739, 272]",2,dead,0.8119
38A,,08/04/2021,4.0,1,1,1,3,LM (T),7,"[19, 431, 60, 471]",3,moribund,0.7838
38A,,08/04/2021,2.0,1,1,1,4,LM (T),1,"[404, 744, 479, 778]",1,alive,0.9830
38A,,08/04/2021,2.0,1,1,1,4,LM (T),2,"[627, 590, 709, 690]",5,L2,0.9803
38A,,08/04/2021,2.0,1,1,1,4,LM (T),3,"[708, 516, 753, 577]",3,moribund,0.9781
38A,,08/04/2021,2.0,1,1,1,4,LM (T),4,"[709, 484, 773, 533]",2,dead,0.8858
38A,,08/04/2021,2.0,1,1,1,4,LM (T),5,"[227, 30, 330, 81]",3,moribund,0.8666
38A,,08/04/2021,2.0,1,1,1,4,LM (T),6,"[328, 17, 402, 57]",2,dead,0.7965
38A,,08/04/2021,2.0,1,1,1,4,LM (T),7,"[555, 648, 628, 745]",1,alive,0.7350
38A,,08/04/2021,2.0,1,1,1,4,LM (T),8,"[712, 563, 741, 597]",3,moribund,0.6214
38A,,08/04/2021,1.0,1,1,1,5,LM (T),1,"[561, 420, 592, 459]",7,artifact,0.9947
38A,,08/04/2021,1.0,1,1,1,5,LM (T),2,"[576, 681, 641, 729]",2,dead,0.9815
