Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
35H,,08/10/2021,1.28,1,1,1,1,LM (T),1,"[11, 387, 45, 465]",6,aged_dead,0.9997
35H,,08/10/2021,1.28,1,1,1,1,LM (T),2,"[632, 138, 690, 196]",1,alive,0.9915
35H,,08/10/2021,1.28,1,1,1,1,LM (T),3,"[370, 373, 409, 410]",7,artifact,0.9913
35H,,08/10/2021,1.28,1,1,1,1,LM (T),4,"[556, 100, 648, 166]",1,alive,0.9755
35H,,08/10/2021,1.28,1,1,1,1,LM (T),5,"[111, 629, 192, 693]",2,dead,0.9703
35H,,08/10/2021,1.28,1,1,1,1,LM (T),6,"[193, 54, 277, 123]",1,alive,0.9689
35H,,08/10/2021,1.28,1,1,1,1,LM (T),7,"[143, 124, 185, 158]",1,alive,0.9521
35H,,08/10/2021,1.28,1,1,1,1,LM (T),8,"[306, 746, 395, 781]",1,alive,0.9513
35H,,08/10/2021,1.28,1,1,1,1,LM (T),9,"[79, 509, 156, 634]",1,alive,0.9481
35H,,08/10/2021,1.28,1,1,1,1,LM (T),10,"[24, 365, 62, 447]",1,alive,0.9366
35H,,08/10/2021,1.28,1,1,1,1,LM (T),11,"[47, 214, 83, 284]",4,egg,0.9185
35H,,08/10/2021,1.28,1,1,1,1,LM (T),12,"[443, 736, 545, 778]",1,alive,0.8987
35H,,08/10/2021,1.28,1,1,1,1,LM (T),13,"[56, 256, 95, 309]",2,dead,0.8861
35H,,08/10/2021,1.28,1,1,1,1,LM (T),14,"[101, 114, 167, 177]",2,dead,0.8824
35H,,08/10/2021,1.28,1,1,1,1,LM (T),15,"[528, 709, 575, 750]",3,moribund,0.8618
35H,,08/10/2021,1.28,1,1,1,1,LM (T),16,"[311, 25, 402, 58]",1,alive,0.8454
35H,,08/10/2021,1.28,1,1,1,1,LM (T),17,"[568, 77, 632, 122]",1,alive,0.8391
35H,,08/10/2021,1.28,1,1,1,1,LM (T),18,"[127, 115, 170, 158]",2,dead,0.8388
35H,,08/10/2021,1.28,1,1,1,1,LM (T),19,"[77, 165, 148, 238]",1,alive,0.8353
35H,,08/10/2021,1.28,1,1,1,1,LM (T),20,"[156, 85, 208, 135]",1,alive,0.8001
35H,,08/10/2021,1.28,1,1,1,1,LM (T),21,"[78, 110, 156, 212]",6,aged_dead,0.7610
35H,,08/10/2021,1.28,1,1,1,1,LM (T),22,"[252, 43, 297, 80]",2,dead,0.6920
35H,,08/10/2021,1.28,1,1,1,1,LM (T),23,"[720, 498, 764, 561]",1,alive,0.6899
35H,,08/10/2021,1.28,1,1,1,1,LM (T),24,"[28, 284, 68, 361]",2,dead,0.6703
35H,,08/10/2021,1.28,1,1,1,1,LM (T),25,"[51, 519, 89, 594]",2,dead,0.6533
35H,,08/10/2021,0.64,1,1,1,2,LM (T),1,"[471, 399, 526, 442]",7,artifact,0.9920
35H,,08/10/2021,0.64,1,1,1,2,LM (T),2,"[93, 398, 213, 537]",7,artifact,0.9781
35H,,08/10/2021,0.64,1,1,1,2,LM (T),3,"[350, 736, 446, 783]",1,alive,0.9757
35H,,08/10/2021,0.64,1,1,1,2,LM (T),4,"[520, 43, 626, 105]",2,dead,0.9679
35H,,08/10/2021,0.64,1,1,1,2,LM (T),5,"[21, 410, 78, 474]",1,alive,0.9631
35H,,08/10/2021,0.64,1,1,1,2,LM (T),6,"[630, 586, 715, 672]",1,alive,0.9541
35H,,08/10/2021,0.64,1,1,1,2,LM (T),7,"[13, 340, 45, 408]",2,dead,0.9479
35H,,08/10/2021,0.64,1,1,1,2,LM (T),8,"[720, 451, 767, 508]",1,alive,0.9261
35H,,08/10/2021,0.64,1,1,1,2,LM (T),9,"[594, 671, 635, 716]",1,alive,0.9005
35H,,08/10/2021,0.64,1,1,1,2,LM (T),10,"[392, 14, 489, 86]",2,dead,0.8896
35H,,08/10/2021,0.64,1,1,1,2,LM (T),11,"[23, 467, 89, 565]",1,alive,0.7992
35H,,08/10/2021,0.64,1,1,1,2,LM (T),12,"[55, 556, 118, 638]",1,alive,0.7658
35H,,08/10/2021,0.64,1,1,1,2,LM (T),13,"[708, 519, 763, 594]",2,dead,0.6905
35H,,08/10/2021,0.32,1,1,1,3,LM (T),1,"[58, 186, 147, 239]",1,alive,0.9762
35H,,08/10/2021,0.32,1,1,1,3,LM (T),2,"[332, 19, 376, 84]",3,moribund,0.9731
35H,,08/10/2021,0.32,1,1,1,3,LM (T),3,"[585, 90, 635, 137]",3,moribund,0.9730
35H,,08/10/2021,0.32,1,1,1,3,LM (T),4,"[732, 342, 783, 463]",1,alive,0.9682
35H,,08/10/2021,0.32,1,1,1,3,LM (T),5,"[358, 26, 475, 106]",3,moribund,0.9676
35H,,08/10/2021,0.32,1,1,1,3,LM (T),6,"[248, 43, 293, 90]",1,alive,0.9211
35H,,08/10/2021,0.32,1,1,1,3,LM (T),7,"[236, 76, 262, 107]",2,dead,0.9128
35H,,08/10/2021,0.32,1,1,1,3,LM (T),8,"[81, 160, 139, 202]",1,alive,0.9043
35H,,08/10/2021,0.32,1,1,1,3,LM (T),9,"[413, 750, 443, 788]",7,artifact,0.9037
35H,,08/10/2021,0.32,1,1,1,3,LM (T),10,"[396, 11, 483, 49]",2,dead,0.8844
35H,,08/10/2021,0.32,1,1,1,3,LM (T),11,"[134, 82, 186, 152]",1,alive,0.8631
35H,,08/10/2021,0.32,1,1,1,3,LM (T),12,"[488, 46, 594, 89]",1,alive,0.8549
35H,,08/10/2021,0.32,1,1,1,3,LM (T),13,"[453, 29, 502, 80]",1,alive,0.8520
35H,,08/10/2021,0.32,1,1,1,3,LM (T),14,"[188, 55, 254, 123]",1,alive,0.8200
35H,,08/10/2021,0.32,1,1,1,3,LM (T),15,"[560, 690, 649, 759]",7,artifact,0.7851
35H,,08/10/2021,0.32,1,1,1,3,LM (T),16,"[361, 24, 480, 61]",1,alive,0.7179
35H,,08/10/2021,0.16,1,1,1,4,LM (T),1,"[677, 492, 763, 542]",1,alive,0.9885
35H,,08/10/2021,0.16,1,1,1,4,LM (T),2,"[729, 386, 782, 449]",1,alive,0.9841
35H,,08/10/2021,0.16,1,1,1,4,LM (T),3,"[136, 665, 215, 733]",2,dead,0.9833
35H,,08/10/2021,0.16,1,1,1,4,LM (T),4,"[194, 37, 289, 110]",1,alive,0.9786
35H,,08/10/2021,0.16,1,1,1,4,LM (T),5,"[539, 62, 637, 143]",5,L2,0.9682
35H,,08/10/2021,0.16,1,1,1,4,LM (T),6,"[86, 108, 172, 235]",5,L2,0.9203
35H,,08/10/2021,0.16,1,1,1,4,LM (T),7,"[394, 734, 481, 779]",1,alive,0.9035
35H,,08/10/2021,0.16,1,1,1,4,LM (T),8,"[123, 441, 169, 512]",1,alive,0.8336
35H,,08/10/2021,0.16,1,1,1,4,LM (T),9,"[741, 276, 781, 359]",2,dead,0.7654
35H,,08/10/2021,0.16,1,1,1,4,LM (T),10,"[27, 443, 84, 587]",1,alive,0.7340
35H,,08/10/2021,0.08,1,1,1,5,LM (T),1,"[286, 129, 400, 259]",7,artifact,1.0000
35H,,08/10/2021,0.08,1,1,1,5,LM (T),2,"[359, 15, 435, 80]",1,alive,0.9968
35H,,08/10/2021,0.08,1,1,1,5,LM (T),3,"[41, 520, 126, 613]",1,alive,0.9952
35H,,08/10/2021,0.08,1,1,1,5,LM (T),4,"[708, 204, 769, 335]",1,alive,0.9946
35H,,08/10/2021,0.08,1,1,1,5,LM (T),5,"[482, 36, 638, 133]",5,L2,0.9946
35H,,08/10/2021,0.08,1,1,1,5,LM (T),6,"[18, 398, 101, 454]",1,alive,0.9941
35H,,08/10/2021,0.08,1,1,1,5,LM (T),7,"[440, 23, 510, 87]",1,alive,0.9906
35H,,08/10/2021,0.08,1,1,1,5,LM (T),8,"[42, 449, 73, 526]",1,alive,0.9880
35H,,08/10/2021,0.08,1,1,1,5,LM (T),9,"[524, 94, 649, 156]",1,alive,0.9846
35H,,08/10/2021,0.08,1,1,1,5,LM (T),10,"[222, 43, 334, 82]",1,alive,0.9826
35H,,08/10/2021,0.08,1,1,1,5,LM (T),11,"[152, 69, 296, 128]",1,alive,0.9675
35H,,08/10/2021,0.08,1,1,1,5,LM (T),12,"[102, 597, 152, 670]",1,alive,0.9567
35H,,08/10/2021,0.08,1,1,1,5,LM (T),13,"[71, 567, 158, 612]",1,alive,0.9477
35H,,08/10/2021,0.08,1,1,1,5,LM (T),14,"[21, 282, 68, 368]",1,alive,0.9409
35H,,08/10/2021,0.08,1,1,1,5,LM (T),15,"[609, 132, 653, 157]",1,alive,0.8991
35H,,08/10/2021,0.08,1,1,1,5,LM (T),16,"[611, 143, 658, 185]",1,alive,0.8833
35H,,08/10/2021,0.08,1,1,1,5,LM (T),17,"[647, 123, 692, 241]",1,alive,0.8425
35H,,08/10/2021,0.08,1,1,1,5,LM (T),18,"[676, 176, 718, 214]",1,alive,0.7714
35H,,08/10/2021,0.08,1,1,1,5,LM (T),19,"[206, 697, 253, 743]",3,moribund,0.7192
35H,,08/10/2021,0.08,1,1,1,5,LM (T),20,"[23, 286, 42, 310]",7,artifact,0.6306
35H,,08/10/2021,0.04,1,1,1,6,LM (T),1,"[124, 36, 343, 194]",5,L2,1.0000
35H,,08/10/2021,0.04,1,1,1,6,LM (T),2,"[449, 36, 520, 113]",1,alive,0.9996
35H,,08/10/2021,0.04,1,1,1,6,LM (T),3,"[395, 15, 474, 53]",4,egg,0.9994
35H,,08/10/2021,0.04,1,1,1,6,LM (T),4,"[34, 511, 74, 565]",7,artifact,0.9970
35H,,08/10/2021,0.04,1,1,1,6,LM (T),5,"[212, 128, 283, 251]",1,alive,0.9964
35H,,08/10/2021,0.04,1,1,1,6,LM (T),6,"[540, 658, 634, 736]",1,alive,0.9959
35H,,08/10/2021,0.04,1,1,1,6,LM (T),7,"[365, 31, 419, 180]",1,alive,0.9958
35H,,08/10/2021,0.04,1,1,1,6,LM (T),8,"[224, 676, 321, 774]",1,alive,0.9942
35H,,08/10/2021,0.04,1,1,1,6,LM (T),9,"[16, 324, 88, 445]",1,alive,0.9902
35H,,08/10/2021,0.04,1,1,1,6,LM (T),10,"[473, 127, 522, 158]",7,artifact,0.9843
35H,,08/10/2021,0.04,1,1,1,6,LM (T),11,"[712, 236, 756, 306]",1,alive,0.9828
35H,,08/10/2021,0.04,1,1,1,6,LM (T),12,"[129, 121, 179, 171]",1,alive,0.9571
35H,,08/10/2021,0.04,1,1,1,6,LM (T),13,"[535, 56, 570, 77]",7,artifact,0.9492
