Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96A,,09/21/2021,8.0,1,2,1,1,LM (T),1,"[95, 117, 152, 171]",2,dead,0.9975
96A,,09/21/2021,8.0,1,2,1,1,LM (T),2,"[581, 654, 653, 713]",2,dead,0.9814
96A,,09/21/2021,8.0,1,2,1,1,LM (T),3,"[569, 64, 638, 118]",2,dead,0.9810
96A,,09/21/2021,8.0,1,2,1,1,LM (T),4,"[745, 294, 776, 376]",2,dead,0.9787
96A,,09/21/2021,8.0,1,2,1,1,LM (T),5,"[51, 191, 103, 252]",2,dead,0.9744
96A,,09/21/2021,8.0,1,2,1,1,LM (T),6,"[420, 719, 491, 779]",2,dead,0.9705
96A,,09/21/2021,8.0,1,2,1,1,LM (T),7,"[74, 561, 152, 604]",2,dead,0.8645
96A,,09/21/2021,4.0,1,2,1,2,LM (T),1,"[592, 646, 669, 720]",2,dead,0.9941
96A,,09/21/2021,4.0,1,2,1,2,LM (T),2,"[231, 27, 322, 75]",6,aged_dead,0.9938
96A,,09/21/2021,4.0,1,2,1,2,LM (T),3,"[737, 265, 776, 334]",2,dead,0.9846
96A,,09/21/2021,4.0,1,2,1,2,LM (T),4,"[639, 116, 722, 201]",2,dead,0.9834
96A,,09/21/2021,4.0,1,2,1,2,LM (T),5,"[721, 510, 765, 575]",2,dead,0.9721
96A,,09/21/2021,4.0,1,2,1,2,LM (T),6,"[92, 138, 136, 214]",2,dead,0.9618
96A,,09/21/2021,4.0,1,2,1,2,LM (T),7,"[73, 586, 136, 638]",7,artifact,0.9475
96A,,09/21/2021,4.0,1,2,1,2,LM (T),8,"[744, 336, 780, 409]",2,dead,0.9312
96A,,09/21/2021,4.0,1,2,1,2,LM (T),9,"[44, 180, 101, 274]",2,dead,0.9125
96A,,09/21/2021,4.0,1,2,1,2,LM (T),10,"[11, 401, 70, 453]",2,dead,0.8926
96A,,09/21/2021,4.0,1,2,1,2,LM (T),11,"[22, 440, 62, 537]",2,dead,0.8814
96A,,09/21/2021,4.0,1,2,1,2,LM (T),12,"[99, 623, 159, 683]",2,dead,0.8684
96A,,09/21/2021,2.0,1,2,1,3,LM (T),1,"[547, 86, 575, 111]",7,artifact,0.9937
96A,,09/21/2021,2.0,1,2,1,3,LM (T),2,"[727, 471, 778, 543]",2,dead,0.9840
96A,,09/21/2021,2.0,1,2,1,3,LM (T),3,"[734, 385, 788, 450]",2,dead,0.9686
96A,,09/21/2021,2.0,1,2,1,3,LM (T),4,"[691, 575, 722, 645]",2,dead,0.9609
