Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
,,07/27/2021,0.0,1,1,1,1,LM (T),1,"[752, 361, 791, 451]",2,dead,0.9889
,,07/27/2021,0.0,1,1,1,1,LM (T),2,"[48, 530, 94, 601]",2,dead,0.9859
,,07/27/2021,0.0,1,1,1,1,LM (T),3,"[667, 128, 690, 151]",7,artifact,0.9855
,,07/27/2021,0.0,1,1,1,1,LM (T),4,"[62, 165, 125, 235]",2,dead,0.9519
,,07/27/2021,0.0,1,1,1,2,LM (T),1,"[58, 166, 116, 244]",2,dead,0.9922
,,07/27/2021,0.0,1,1,1,2,LM (T),2,"[138, 409, 163, 456]",7,artifact,0.9653
,,07/27/2021,0.0,1,1,1,2,LM (T),3,"[748, 447, 781, 526]",2,dead,0.9577
,,07/27/2021,0.0,1,1,1,2,LM (T),4,"[737, 458, 768, 529]",2,dead,0.9345
,,07/27/2021,0.0,1,1,1,3,LM (T),1,"[321, 534, 371, 574]",7,artifact,0.9920
,,07/27/2021,0.0,1,1,1,3,LM (T),2,"[261, 377, 327, 410]",7,artifact,0.9592
,,07/27/2021,0.0,1,1,1,3,LM (T),3,"[242, 728, 298, 767]",2,dead,0.9546
,,07/27/2021,0.0,1,1,1,4,LM (T),1,"[219, 41, 298, 84]",6,aged_dead,0.9980
,,07/27/2021,0.0,1,1,1,4,LM (T),2,"[673, 583, 723, 636]",2,dead,0.8462
,,07/27/2021,0.0,1,1,1,5,LM (T),1,"[586, 511, 766, 697]",5,L2,1.0000
,,07/27/2021,0.0,1,1,1,5,LM (T),2,"[672, 140, 716, 195]",2,dead,0.9838
,,07/27/2021,0.0,1,1,1,5,LM (T),3,"[58, 548, 90, 590]",3,moribund,0.9009
,,07/27/2021,0.0,1,1,1,5,LM (T),4,"[748, 366, 783, 425]",2,dead,0.8849
,,07/27/2021,0.0,1,1,1,5,LM (T),5,"[714, 515, 761, 547]",7,artifact,0.8803
,,07/27/2021,0.0,1,1,1,5,LM (T),6,"[584, 664, 642, 701]",2,dead,0.7405
,,07/27/2021,0.0,1,1,1,5,LM (T),7,"[456, 416, 489, 456]",7,artifact,0.6109
,,07/27/2021,0.0,1,1,1,6,LM (T),1,"[598, 81, 641, 113]",6,aged_dead,0.9978
,,07/27/2021,0.0,1,1,1,6,LM (T),2,"[292, 738, 360, 777]",2,dead,0.9911
,,07/27/2021,0.0,1,1,1,6,LM (T),3,"[431, 412, 508, 461]",7,artifact,0.9867
,,07/27/2021,0.0,1,1,1,6,LM (T),4,"[461, 735, 484, 759]",7,artifact,0.9496
,,07/27/2021,0.0,1,1,1,6,LM (T),5,"[20, 273, 96, 355]",3,moribund,0.8658
,,07/27/2021,0.0,1,1,1,6,LM (T),6,"[86, 91, 199, 203]",2,dead,0.8485
,,07/27/2021,0.0,1,1,1,6,LM (T),7,"[47, 199, 127, 292]",1,alive,0.8310
,,07/27/2021,0.0,1,1,1,6,LM (T),8,"[183, 47, 279, 96]",2,dead,0.8127
,,07/27/2021,0.0,1,1,1,6,LM (T),9,"[53, 521, 109, 599]",2,dead,0.8050
,,07/27/2021,0.0,1,1,1,6,LM (T),10,"[725, 329, 780, 393]",1,alive,0.7703
,,07/27/2021,0.0,1,1,1,7,LM (T),1,"[504, 592, 717, 756]",5,L2,1.0000
