Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96B,,09/21/2021,16.0,1,1,1,1,LM (T),1,"[422, 16, 493, 58]",2,dead,0.9965
96B,,09/21/2021,16.0,1,1,1,1,LM (T),2,"[75, 205, 151, 262]",2,dead,0.9962
96B,,09/21/2021,16.0,1,1,1,1,LM (T),3,"[708, 247, 775, 340]",2,dead,0.9842
96B,,09/21/2021,16.0,1,1,1,1,LM (T),4,"[605, 84, 652, 158]",3,moribund,0.9815
96B,,09/21/2021,16.0,1,1,1,1,LM (T),5,"[76, 183, 130, 239]",2,dead,0.9770
96B,,09/21/2021,16.0,1,1,1,1,LM (T),6,"[51, 195, 120, 276]",2,dead,0.9709
96B,,09/21/2021,16.0,1,1,1,1,LM (T),7,"[675, 319, 717, 353]",3,moribund,0.9640
96B,,09/21/2021,16.0,1,1,1,1,LM (T),8,"[227, 33, 313, 73]",2,dead,0.9523
96B,,09/21/2021,16.0,1,1,1,1,LM (T),9,"[632, 122, 690, 194]",2,dead,0.9451
96B,,09/21/2021,16.0,1,1,1,1,LM (T),10,"[570, 57, 613, 132]",2,dead,0.9413
96B,,09/21/2021,16.0,1,1,1,1,LM (T),11,"[704, 221, 753, 283]",2,dead,0.9172
96B,,09/21/2021,16.0,1,1,1,1,LM (T),12,"[486, 33, 577, 115]",2,dead,0.9083
96B,,09/21/2021,16.0,1,1,1,1,LM (T),13,"[80, 151, 143, 200]",2,dead,0.8965
96B,,09/21/2021,16.0,1,1,1,1,LM (T),14,"[199, 64, 285, 114]",3,moribund,0.8354
96B,,09/21/2021,16.0,1,1,1,1,LM (T),15,"[311, 15, 390, 56]",2,dead,0.7886
96B,,09/21/2021,8.0,1,1,1,2,LM (T),1,"[636, 640, 689, 686]",2,dead,0.9986
96B,,09/21/2021,8.0,1,1,1,2,LM (T),2,"[297, 571, 360, 604]",7,artifact,0.9880
96B,,09/21/2021,8.0,1,1,1,2,LM (T),3,"[740, 281, 781, 354]",2,dead,0.9771
96B,,09/21/2021,8.0,1,1,1,2,LM (T),4,"[734, 463, 770, 542]",2,dead,0.9668
96B,,09/21/2021,8.0,1,1,1,2,LM (T),5,"[237, 726, 314, 773]",2,dead,0.9578
96B,,09/21/2021,8.0,1,1,1,2,LM (T),6,"[19, 345, 49, 404]",2,dead,0.9556
96B,,09/21/2021,8.0,1,1,1,2,LM (T),7,"[704, 227, 762, 296]",2,dead,0.9537
96B,,09/21/2021,8.0,1,1,1,2,LM (T),8,"[728, 390, 789, 469]",2,dead,0.9471
96B,,09/21/2021,8.0,1,1,1,2,LM (T),9,"[189, 715, 222, 743]",7,artifact,0.6888
96B,,09/21/2021,4.0,1,1,1,3,LM (T),1,"[703, 527, 741, 591]",2,dead,0.9995
96B,,09/21/2021,4.0,1,1,1,3,LM (T),2,"[161, 681, 220, 728]",2,dead,0.9991
96B,,09/21/2021,4.0,1,1,1,3,LM (T),3,"[728, 524, 756, 587]",6,aged_dead,0.9931
96B,,09/21/2021,4.0,1,1,1,3,LM (T),4,"[28, 474, 80, 574]",2,dead,0.9825
96B,,09/21/2021,4.0,1,1,1,3,LM (T),5,"[718, 502, 757, 540]",3,moribund,0.9104
96B,,09/21/2021,4.0,1,1,1,3,LM (T),6,"[20, 386, 58, 482]",2,dead,0.8171
96B,,09/21/2021,4.0,1,1,1,3,LM (T),7,"[719, 478, 768, 527]",2,dead,0.7961
96B,,09/21/2021,2.0,1,1,1,4,LM (T),1,"[533, 679, 599, 752]",2,dead,0.9750
96B,,09/21/2021,2.0,1,1,1,4,LM (T),2,"[591, 98, 645, 169]",2,dead,0.9647
96B,,09/21/2021,2.0,1,1,1,4,LM (T),3,"[450, 21, 521, 70]",2,dead,0.9393
96B,,09/21/2021,2.0,1,1,1,4,LM (T),4,"[75, 167, 114, 228]",2,dead,0.8870
96B,,09/21/2021,2.0,1,1,1,4,LM (T),5,"[450, 718, 532, 785]",2,dead,0.8724
96B,,09/21/2021,2.0,1,1,1,4,LM (T),6,"[682, 163, 743, 225]",2,dead,0.8514
96B,,09/21/2021,2.0,1,1,1,4,LM (T),7,"[10, 346, 47, 389]",4,egg,0.8245
96B,,09/21/2021,2.0,1,1,1,4,LM (T),8,"[634, 111, 681, 161]",2,dead,0.8216
96B,,09/21/2021,2.0,1,1,1,4,LM (T),9,"[750, 300, 781, 377]",1,alive,0.7672
96B,,09/21/2021,2.0,1,1,1,4,LM (T),10,"[734, 272, 767, 303]",2,dead,0.7493
96B,,09/21/2021,2.0,1,1,1,4,LM (T),11,"[701, 217, 749, 297]",3,moribund,0.6511
96B,,09/21/2021,1.0,1,1,1,5,LM (T),1,"[283, 35, 311, 63]",6,aged_dead,0.9983
96B,,09/21/2021,1.0,1,1,1,5,LM (T),2,"[349, 755, 436, 791]",6,aged_dead,0.9974
96B,,09/21/2021,1.0,1,1,1,5,LM (T),3,"[237, 51, 283, 123]",1,alive,0.9842
96B,,09/21/2021,1.0,1,1,1,5,LM (T),4,"[298, 478, 358, 535]",7,artifact,0.9750
96B,,09/21/2021,1.0,1,1,1,5,LM (T),5,"[730, 306, 772, 405]",1,alive,0.9712
96B,,09/21/2021,1.0,1,1,1,5,LM (T),6,"[517, 81, 609, 137]",1,alive,0.9676
96B,,09/21/2021,1.0,1,1,1,5,LM (T),7,"[319, 715, 371, 776]",2,dead,0.9292
96B,,09/21/2021,1.0,1,1,1,5,LM (T),8,"[430, 10, 523, 63]",7,artifact,0.9046
96B,,09/21/2021,1.0,1,1,1,5,LM (T),9,"[500, 694, 555, 759]",2,dead,0.8993
96B,,09/21/2021,1.0,1,1,1,5,LM (T),10,"[338, 15, 397, 91]",3,moribund,0.7890
96B,,09/21/2021,1.0,1,1,1,5,LM (T),11,"[447, 50, 565, 101]",2,dead,0.7828
96B,,09/21/2021,1.0,1,1,1,5,LM (T),12,"[443, 519, 481, 558]",7,artifact,0.7632
96B,,09/21/2021,1.0,1,1,1,5,LM (T),13,"[530, 50, 604, 98]",2,dead,0.7208
96B,,09/21/2021,1.0,1,1,1,5,LM (T),14,"[663, 148, 709, 199]",3,moribund,0.6917
96B,,09/21/2021,1.0,1,1,1,5,LM (T),15,"[431, 13, 473, 60]",7,artifact,0.6459
96B,,09/21/2021,1.0,1,1,1,5,LM (T),16,"[71, 554, 122, 648]",1,alive,0.6137
96B,,09/21/2021,1.0,1,1,1,5,LM (T),17,"[581, 81, 611, 117]",1,alive,0.6075
96B,,09/21/2021,0.5,1,1,1,6,LM (T),1,"[120, 621, 176, 686]",1,alive,0.9996
96B,,09/21/2021,0.5,1,1,1,6,LM (T),2,"[523, 30, 546, 55]",7,artifact,0.9829
96B,,09/21/2021,0.5,1,1,1,6,LM (T),3,"[371, 26, 508, 56]",1,alive,0.9795
96B,,09/21/2021,0.5,1,1,1,6,LM (T),4,"[43, 511, 114, 559]",1,alive,0.9746
96B,,09/21/2021,0.5,1,1,1,6,LM (T),5,"[663, 169, 726, 234]",1,alive,0.9738
96B,,09/21/2021,0.5,1,1,1,6,LM (T),6,"[294, 20, 375, 59]",1,alive,0.7749
96B,,09/21/2021,0.5,1,1,1,6,LM (T),7,"[198, 38, 259, 74]",1,alive,0.7347
