Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96A,,09/24/2021,8.0,1,1,1,1,LM (T),1,"[702, 525, 757, 608]",2,dead,0.9917
96A,,09/24/2021,8.0,1,1,1,1,LM (T),2,"[545, 698, 598, 752]",2,dead,0.9893
96A,,09/24/2021,8.0,1,1,1,1,LM (T),3,"[595, 651, 654, 715]",2,dead,0.9885
96A,,09/24/2021,8.0,1,1,1,1,LM (T),4,"[36, 228, 79, 291]",2,dead,0.9831
96A,,09/24/2021,8.0,1,1,1,1,LM (T),5,"[379, 10, 465, 38]",2,dead,0.9580
96A,,09/24/2021,8.0,1,1,1,1,LM (T),6,"[437, 22, 525, 86]",2,dead,0.9507
96A,,09/24/2021,8.0,1,1,1,1,LM (T),7,"[557, 68, 600, 114]",3,moribund,0.9399
96A,,09/24/2021,8.0,1,1,1,1,LM (T),8,"[532, 60, 615, 119]",7,artifact,0.9386
96A,,09/24/2021,8.0,1,1,1,1,LM (T),9,"[327, 14, 393, 45]",2,dead,0.9185
96A,,09/24/2021,8.0,1,1,1,1,LM (T),10,"[464, 20, 519, 50]",2,dead,0.9176
96A,,09/24/2021,8.0,1,1,1,1,LM (T),11,"[502, 36, 577, 90]",3,moribund,0.9108
96A,,09/24/2021,8.0,1,1,1,1,LM (T),12,"[76, 124, 153, 227]",5,L2,0.9006
96A,,09/24/2021,8.0,1,1,1,1,LM (T),13,"[168, 66, 240, 105]",2,dead,0.8909
96A,,09/24/2021,8.0,1,1,1,1,LM (T),14,"[142, 95, 194, 135]",3,moribund,0.8904
96A,,09/24/2021,8.0,1,1,1,1,LM (T),15,"[738, 345, 785, 410]",2,dead,0.8267
96A,,09/24/2021,4.0,1,1,1,2,LM (T),1,"[599, 87, 660, 146]",2,dead,0.9987
96A,,09/24/2021,4.0,1,1,1,2,LM (T),2,"[548, 68, 610, 112]",2,dead,0.9982
96A,,09/24/2021,4.0,1,1,1,2,LM (T),3,"[670, 593, 717, 661]",2,dead,0.9975
96A,,09/24/2021,4.0,1,1,1,2,LM (T),4,"[68, 573, 121, 636]",2,dead,0.9959
96A,,09/24/2021,4.0,1,1,1,2,LM (T),5,"[415, 674, 473, 723]",2,dead,0.9928
96A,,09/24/2021,4.0,1,1,1,2,LM (T),6,"[29, 467, 76, 513]",2,dead,0.9918
96A,,09/24/2021,4.0,1,1,1,2,LM (T),7,"[448, 15, 513, 77]",2,dead,0.9901
96A,,09/24/2021,4.0,1,1,1,2,LM (T),8,"[496, 705, 553, 777]",2,dead,0.9870
96A,,09/24/2021,4.0,1,1,1,2,LM (T),9,"[554, 692, 587, 741]",2,dead,0.9649
96A,,09/24/2021,4.0,1,1,1,2,LM (T),10,"[36, 522, 89, 588]",2,dead,0.9263
96A,,09/24/2021,4.0,1,1,1,2,LM (T),11,"[12, 330, 81, 407]",3,moribund,0.9034
96A,,09/24/2021,4.0,1,1,1,2,LM (T),12,"[227, 38, 304, 102]",2,dead,0.8954
96A,,09/24/2021,4.0,1,1,1,2,LM (T),13,"[624, 616, 678, 700]",2,dead,0.8639
96A,,09/24/2021,4.0,1,1,1,2,LM (T),14,"[295, 18, 359, 65]",2,dead,0.8582
96A,,09/24/2021,4.0,1,1,1,2,LM (T),15,"[412, 727, 500, 784]",2,dead,0.8433
96A,,09/24/2021,4.0,1,1,1,2,LM (T),16,"[521, 45, 579, 85]",3,moribund,0.7670
96A,,09/24/2021,4.0,1,1,1,2,LM (T),17,"[666, 204, 776, 308]",7,artifact,0.6873
96A,,09/24/2021,2.0,1,1,1,3,LM (T),1,"[46, 210, 118, 269]",2,dead,0.9985
96A,,09/24/2021,2.0,1,1,1,3,LM (T),2,"[733, 501, 763, 539]",2,dead,0.9978
96A,,09/24/2021,2.0,1,1,1,3,LM (T),3,"[376, 13, 438, 49]",2,dead,0.9972
96A,,09/24/2021,2.0,1,1,1,3,LM (T),4,"[133, 89, 195, 151]",2,dead,0.9965
96A,,09/24/2021,2.0,1,1,1,3,LM (T),5,"[189, 49, 250, 110]",2,dead,0.9923
96A,,09/24/2021,2.0,1,1,1,3,LM (T),6,"[321, 22, 374, 76]",2,dead,0.9905
96A,,09/24/2021,2.0,1,1,1,3,LM (T),7,"[253, 32, 325, 75]",2,dead,0.9892
96A,,09/24/2021,2.0,1,1,1,3,LM (T),8,"[59, 202, 93, 236]",2,dead,0.9881
