Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96A,,09/17/2021,8.0,1,2,1,1,LM (T),1,"[583, 66, 631, 134]",2,dead,0.9930
96A,,09/17/2021,8.0,1,2,1,1,LM (T),2,"[615, 91, 673, 162]",2,dead,0.9805
96A,,09/17/2021,8.0,1,2,1,1,LM (T),3,"[33, 326, 60, 359]",7,artifact,0.9619
96A,,09/17/2021,8.0,1,2,1,1,LM (T),4,"[90, 604, 152, 669]",2,dead,0.9599
96A,,09/17/2021,8.0,1,2,1,1,LM (T),5,"[263, 23, 338, 69]",2,dead,0.9381
96A,,09/17/2021,8.0,1,2,1,1,LM (T),6,"[17, 426, 59, 509]",2,dead,0.8094
96A,,09/17/2021,4.0,1,2,1,2,LM (T),1,"[695, 557, 744, 632]",2,dead,0.9903
96A,,09/17/2021,4.0,1,2,1,2,LM (T),2,"[60, 552, 109, 617]",2,dead,0.9901
96A,,09/17/2021,4.0,1,2,1,2,LM (T),3,"[726, 485, 775, 565]",2,dead,0.9857
96A,,09/17/2021,4.0,1,2,1,2,LM (T),4,"[439, 742, 514, 784]",2,dead,0.9790
96A,,09/17/2021,4.0,1,2,1,2,LM (T),5,"[308, 753, 384, 785]",2,dead,0.9488
96A,,09/17/2021,4.0,1,2,1,2,LM (T),6,"[194, 48, 268, 92]",6,aged_dead,0.9462
96A,,09/17/2021,2.0,1,2,1,3,LM (T),1,"[174, 692, 242, 747]",2,dead,0.9782
96A,,09/17/2021,2.0,1,2,1,3,LM (T),2,"[479, 727, 548, 769]",2,dead,0.9654
96A,,09/17/2021,2.0,1,2,1,3,LM (T),3,"[38, 208, 89, 302]",2,dead,0.9438
96A,,09/17/2021,2.0,1,2,1,3,LM (T),4,"[749, 408, 782, 488]",2,dead,0.9329
96A,,09/17/2021,2.0,1,2,1,3,LM (T),5,"[511, 36, 579, 102]",2,dead,0.7721
