Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96A,,09/24/2021,8.0,1,2,1,1,LM (T),1,"[450, 740, 518, 776]",2,dead,0.9585
96A,,09/24/2021,8.0,1,2,1,1,LM (T),2,"[413, 487, 461, 525]",3,moribund,0.9484
96A,,09/24/2021,8.0,1,2,1,1,LM (T),3,"[644, 276, 683, 322]",7,artifact,0.9367
96A,,09/24/2021,8.0,1,2,1,1,LM (T),4,"[386, 723, 458, 787]",3,moribund,0.9200
96A,,09/24/2021,8.0,1,2,1,1,LM (T),5,"[640, 273, 732, 319]",2,dead,0.8729
96A,,09/24/2021,8.0,1,2,1,1,LM (T),6,"[484, 712, 547, 768]",2,dead,0.8693
96A,,09/24/2021,8.0,1,2,1,1,LM (T),7,"[649, 453, 702, 499]",7,artifact,0.8655
96A,,09/24/2021,8.0,1,2,1,1,LM (T),8,"[541, 684, 584, 754]",3,moribund,0.8403
96A,,09/24/2021,4.0,1,2,1,2,LM (T),1,"[675, 291, 713, 348]",7,artifact,0.9949
96A,,09/24/2021,4.0,1,2,1,2,LM (T),2,"[392, 14, 464, 79]",2,dead,0.9897
96A,,09/24/2021,4.0,1,2,1,2,LM (T),3,"[13, 414, 63, 479]",2,dead,0.9862
96A,,09/24/2021,4.0,1,2,1,2,LM (T),4,"[676, 449, 738, 551]",7,artifact,0.9649
96A,,09/24/2021,4.0,1,2,1,2,LM (T),5,"[405, 681, 471, 724]",2,dead,0.9643
96A,,09/24/2021,4.0,1,2,1,2,LM (T),6,"[18, 300, 51, 378]",2,dead,0.9410
96A,,09/24/2021,4.0,1,2,1,2,LM (T),7,"[583, 653, 657, 718]",2,dead,0.8979
96A,,09/24/2021,4.0,1,2,1,2,LM (T),8,"[23, 472, 100, 510]",3,moribund,0.8504
96A,,09/24/2021,4.0,1,2,1,2,LM (T),9,"[739, 472, 780, 541]",2,dead,0.8138
96A,,09/24/2021,2.0,1,2,1,3,LM (T),1,"[336, 9, 402, 46]",2,dead,0.9973
96A,,09/24/2021,2.0,1,2,1,3,LM (T),2,"[87, 146, 147, 189]",2,dead,0.9911
96A,,09/24/2021,2.0,1,2,1,3,LM (T),3,"[710, 324, 764, 400]",2,dead,0.9900
96A,,09/24/2021,2.0,1,2,1,3,LM (T),4,"[47, 526, 86, 592]",2,dead,0.9845
96A,,09/24/2021,2.0,1,2,1,3,LM (T),5,"[605, 659, 671, 713]",2,dead,0.9843
96A,,09/24/2021,2.0,1,2,1,3,LM (T),6,"[730, 388, 789, 449]",2,dead,0.9771
96A,,09/24/2021,2.0,1,2,1,3,LM (T),7,"[112, 92, 180, 152]",2,dead,0.9711
96A,,09/24/2021,2.0,1,2,1,3,LM (T),8,"[734, 310, 788, 393]",2,dead,0.9461
96A,,09/24/2021,2.0,1,2,1,3,LM (T),9,"[191, 51, 260, 104]",2,dead,0.9358
96A,,09/24/2021,2.0,1,2,1,3,LM (T),10,"[667, 569, 739, 638]",2,dead,0.9268
96A,,09/24/2021,2.0,1,2,1,3,LM (T),11,"[739, 449, 785, 544]",2,dead,0.9197
96A,,09/24/2021,2.0,1,2,1,3,LM (T),12,"[475, 30, 544, 68]",2,dead,0.9086
96A,,09/24/2021,2.0,1,2,1,3,LM (T),13,"[722, 520, 757, 562]",2,dead,0.9041
96A,,09/24/2021,2.0,1,2,1,3,LM (T),14,"[33, 483, 97, 536]",2,dead,0.8716
96A,,09/24/2021,2.0,1,2,1,3,LM (T),15,"[565, 44, 584, 62]",7,artifact,0.8358
96A,,09/24/2021,2.0,1,2,1,3,LM (T),16,"[92, 175, 158, 216]",2,dead,0.8275
96A,,09/24/2021,2.0,1,2,1,3,LM (T),17,"[722, 236, 765, 315]",2,dead,0.7670
96A,,09/24/2021,2.0,1,2,1,3,LM (T),18,"[661, 512, 703, 564]",3,moribund,0.7133
96A,,09/24/2021,1.0,1,2,1,4,LM (T),1,"[512, 32, 586, 77]",2,dead,0.9928
96A,,09/24/2021,1.0,1,2,1,4,LM (T),2,"[600, 659, 660, 710]",2,dead,0.9852
96A,,09/24/2021,1.0,1,2,1,4,LM (T),3,"[728, 405, 777, 457]",2,dead,0.9491
96A,,09/24/2021,1.0,1,2,1,4,LM (T),4,"[399, 15, 499, 51]",2,dead,0.9337
96A,,09/24/2021,1.0,1,2,1,4,LM (T),5,"[48, 194, 121, 254]",2,dead,0.9305
96A,,09/24/2021,1.0,1,2,1,4,LM (T),6,"[364, 24, 411, 58]",3,moribund,0.9179
96A,,09/24/2021,1.0,1,2,1,4,LM (T),7,"[307, 23, 361, 60]",2,dead,0.8842
96A,,09/24/2021,1.0,1,2,1,4,LM (T),8,"[40, 486, 85, 546]",2,dead,0.8834
96A,,09/24/2021,1.0,1,2,1,4,LM (T),9,"[203, 707, 269, 739]",2,dead,0.8775
96A,,09/24/2021,1.0,1,2,1,4,LM (T),10,"[636, 611, 697, 682]",2,dead,0.7997
96A,,09/24/2021,1.0,1,2,1,4,LM (T),11,"[731, 326, 790, 400]",2,dead,0.7663
96A,,09/24/2021,1.0,1,2,1,4,LM (T),12,"[519, 704, 565, 753]",2,dead,0.7536
96A,,09/24/2021,0.5,1,2,1,5,LM (T),1,"[679, 386, 780, 465]",1,alive,0.9974
96A,,09/24/2021,0.5,1,2,1,5,LM (T),2,"[602, 422, 695, 516]",1,alive,0.9907
96A,,09/24/2021,0.5,1,2,1,5,LM (T),3,"[204, 32, 288, 81]",2,dead,0.9790
96A,,09/24/2021,0.5,1,2,1,5,LM (T),4,"[77, 138, 130, 206]",2,dead,0.9739
96A,,09/24/2021,0.5,1,2,1,5,LM (T),5,"[26, 274, 70, 386]",1,alive,0.9573
96A,,09/24/2021,0.5,1,2,1,5,LM (T),6,"[719, 360, 757, 395]",2,dead,0.9037
96A,,09/24/2021,0.5,1,2,1,5,LM (T),7,"[740, 296, 772, 371]",2,dead,0.8063
96A,,09/24/2021,0.5,1,2,1,5,LM (T),8,"[709, 208, 760, 288]",2,dead,0.6976
96A,,09/24/2021,0.25,1,2,1,6,LM (T),1,"[702, 261, 766, 378]",1,alive,0.9983
96A,,09/24/2021,0.25,1,2,1,6,LM (T),2,"[36, 462, 99, 538]",1,alive,0.9930
96A,,09/24/2021,0.25,1,2,1,6,LM (T),3,"[356, 298, 385, 326]",7,artifact,0.9924
96A,,09/24/2021,0.25,1,2,1,6,LM (T),4,"[387, 715, 490, 783]",1,alive,0.9823
96A,,09/24/2021,0.25,1,2,1,6,LM (T),5,"[87, 534, 143, 662]",1,alive,0.9771
96A,,09/24/2021,0.25,1,2,1,6,LM (T),6,"[36, 325, 79, 456]",1,alive,0.9758
96A,,09/24/2021,0.25,1,2,1,6,LM (T),7,"[65, 167, 131, 235]",1,alive,0.9669
96A,,09/24/2021,0.25,1,2,1,6,LM (T),8,"[132, 636, 209, 720]",1,alive,0.9606
96A,,09/24/2021,0.25,1,2,1,6,LM (T),9,"[701, 253, 739, 313]",1,alive,0.9554
96A,,09/24/2021,0.25,1,2,1,6,LM (T),10,"[180, 54, 294, 128]",1,alive,0.9084
96A,,09/24/2021,0.25,1,2,1,6,LM (T),11,"[642, 559, 696, 683]",1,alive,0.8945
96A,,09/24/2021,0.25,1,2,1,6,LM (T),12,"[26, 233, 97, 329]",1,alive,0.8630
96A,,09/24/2021,0.25,1,2,1,6,LM (T),13,"[44, 317, 120, 364]",1,alive,0.8507
96A,,09/24/2021,0.25,1,2,1,6,LM (T),14,"[407, 19, 537, 74]",1,alive,0.7840
96A,,09/24/2021,0.25,1,2,1,6,LM (T),15,"[676, 562, 726, 634]",1,alive,0.7784
