Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
38A,,08/05/2021,16.0,1,1,1,1,LM (T),1,"[521, 341, 574, 400]",7,artifact,0.9991
38A,,08/05/2021,16.0,1,1,1,1,LM (T),2,"[341, 429, 390, 475]",7,artifact,0.9959
38A,,08/05/2021,16.0,1,1,1,1,LM (T),3,"[472, 174, 512, 234]",7,artifact,0.9883
38A,,08/05/2021,16.0,1,1,1,1,LM (T),4,"[210, 42, 282, 97]",2,dead,0.9843
38A,,08/05/2021,16.0,1,1,1,1,LM (T),5,"[18, 319, 48, 394]",2,dead,0.9831
38A,,08/05/2021,16.0,1,1,1,1,LM (T),6,"[224, 708, 297, 762]",2,dead,0.9497
38A,,08/05/2021,16.0,1,1,1,1,LM (T),7,"[696, 532, 751, 612]",2,dead,0.9385
38A,,08/05/2021,16.0,1,1,1,1,LM (T),8,"[19, 390, 59, 518]",3,moribund,0.8607
38A,,08/05/2021,16.0,1,1,1,1,LM (T),9,"[156, 668, 219, 716]",2,dead,0.8372
38A,,08/05/2021,8.0,1,1,1,2,LM (T),1,"[435, 288, 469, 340]",7,artifact,0.9959
38A,,08/05/2021,8.0,1,1,1,2,LM (T),2,"[520, 235, 556, 309]",2,dead,0.9900
38A,,08/05/2021,8.0,1,1,1,2,LM (T),3,"[256, 36, 326, 103]",2,dead,0.9841
38A,,08/05/2021,8.0,1,1,1,2,LM (T),4,"[18, 217, 98, 350]",5,L2,0.9677
38A,,08/05/2021,8.0,1,1,1,2,LM (T),5,"[428, 17, 501, 55]",2,dead,0.9665
38A,,08/05/2021,8.0,1,1,1,2,LM (T),6,"[72, 556, 108, 630]",2,dead,0.9579
38A,,08/05/2021,8.0,1,1,1,2,LM (T),7,"[104, 603, 163, 690]",2,dead,0.9147
38A,,08/05/2021,8.0,1,1,1,2,LM (T),8,"[286, 25, 348, 70]",2,dead,0.8962
38A,,08/05/2021,8.0,1,1,1,2,LM (T),9,"[339, 28, 399, 100]",2,dead,0.8258
38A,,08/05/2021,8.0,1,1,1,2,LM (T),10,"[19, 321, 62, 373]",2,dead,0.8002
38A,,08/05/2021,8.0,1,1,1,2,LM (T),11,"[41, 490, 87, 578]",2,dead,0.7835
38A,,08/05/2021,4.0,1,1,1,3,LM (T),1,"[131, 111, 178, 178]",2,dead,0.9974
38A,,08/05/2021,4.0,1,1,1,3,LM (T),2,"[301, 431, 332, 475]",7,artifact,0.9953
38A,,08/05/2021,4.0,1,1,1,3,LM (T),3,"[103, 126, 150, 202]",2,dead,0.9898
38A,,08/05/2021,4.0,1,1,1,3,LM (T),4,"[377, 42, 460, 81]",2,dead,0.9889
38A,,08/05/2021,4.0,1,1,1,3,LM (T),5,"[559, 680, 629, 735]",2,dead,0.9790
38A,,08/05/2021,4.0,1,1,1,3,LM (T),6,"[183, 685, 249, 749]",2,dead,0.9721
38A,,08/05/2021,4.0,1,1,1,3,LM (T),7,"[159, 114, 192, 169]",2,dead,0.9573
38A,,08/05/2021,4.0,1,1,1,3,LM (T),8,"[133, 134, 162, 177]",2,dead,0.9266
38A,,08/05/2021,4.0,1,1,1,3,LM (T),9,"[37, 174, 112, 286]",2,dead,0.9136
38A,,08/05/2021,4.0,1,1,1,3,LM (T),10,"[405, 16, 511, 90]",2,dead,0.8940
38A,,08/05/2021,4.0,1,1,1,3,LM (T),11,"[109, 167, 154, 206]",3,moribund,0.7479
38A,,08/05/2021,4.0,1,1,1,3,LM (T),12,"[25, 293, 78, 347]",3,moribund,0.7171
38A,,08/05/2021,2.0,1,1,1,4,LM (T),1,"[411, 525, 451, 583]",7,artifact,0.9993
38A,,08/05/2021,2.0,1,1,1,4,LM (T),2,"[274, 505, 323, 538]",7,artifact,0.9944
38A,,08/05/2021,2.0,1,1,1,4,LM (T),3,"[183, 59, 244, 127]",2,dead,0.9851
38A,,08/05/2021,2.0,1,1,1,4,LM (T),4,"[660, 140, 715, 199]",2,dead,0.9711
38A,,08/05/2021,2.0,1,1,1,4,LM (T),5,"[18, 412, 76, 500]",1,alive,0.9556
38A,,08/05/2021,2.0,1,1,1,4,LM (T),6,"[121, 104, 183, 150]",2,dead,0.9380
38A,,08/05/2021,2.0,1,1,1,4,LM (T),7,"[731, 435, 776, 536]",2,dead,0.9267
38A,,08/05/2021,2.0,1,1,1,4,LM (T),8,"[720, 240, 753, 293]",1,alive,0.8868
38A,,08/05/2021,2.0,1,1,1,4,LM (T),9,"[39, 208, 101, 294]",2,dead,0.8694
38A,,08/05/2021,2.0,1,1,1,4,LM (T),10,"[645, 133, 677, 189]",2,dead,0.8528
